Column1,Column2,Column3,Column4,Column5
90,132,6020,10430,0
264,366,18634,28831,0
255,296,18418,23526,0
202,217,14225,17933,0
181,198,12987,15655,0
159,160,11264,14059,0
155,157,11151,12909,0
162,170,11433,13986,0
305,336,21591,26915,0
178,193,12655,16040,0
157,161,11178,13309,0
185,198,13098,16503,0
165,169,11805,14197,0
154,158,11002,13351,0
249,258,17766,21522,0
175,184,12362,15227,0
190,207,13507,16540,0
183,198,12927,16279,0
175,184,12483,15347,0
245,255,17422,21452,0
179,185,12789,15549,0
140,142,10040,11879,0
179,186,12654,15743,0
173,183,12351,15060,0
161,170,11471,13623,0
307,335,21669,27156,0
173,190,12261,15447,0
177,186,12582,15319,0
177,188,12576,15107,0
184,199,12938,16105,0
196,218,13844,17426,0
281,306,19948,24567,0
186,203,13177,16556,0
164,172,11639,14227,0
177,189,12529,15661,0
170,179,12219,14497,0
166,172,11667,14691,0
254,269,18166,21976,0
170,177,11972,14989,0
424,452,30098,37009,0
90,96,6409,7675,0
92,99,6571,8081,0
66,67,4760,5310,0
76,79,5340,6769,0
167,177,11820,14733,0
93,100,6593,8227,0
70,72,5087,5488,0
77,81,5425,6669,0
75,80,5232,6800,0
100,107,7066,8849,0
161,171,11611,13617,0
61,63,4243,5425,0
82,86,5785,7228,0
83,90,5790,7647,0
84,92,6076,7219,0
69,71,4985,5470,0
157,166,11009,13999,0
90,97,6395,7869,0
80,87,5724,7089,0
68,71,4875,5710,0
68,70,4782,6047,0
80,84,5642,6936,0
152,161,10825,12880,0
77,83,5460,6766,0
78,84,5496,6923,0
74,76,5274,6152,0
83,92,5839,7515,0
142,149,10102,12181,0
62,67,4366,5513,0
79,84,5628,6744,0
70,73,4988,5973,0
58,62,4083,5015,0
83,87,5884,7214,0
136,145,9678,11773,0
67,72,4729,5843,0
51,55,3643,4433,0
84,91,5875,7502,0
68,74,4836,6103,0
81,86,5793,6876,0
115,123,8199,10044,0
69,72,4820,6296,0
69,70,4939,5879,0
65,67,4680,5438,0
49,51,3495,4113,0
59,63,4149,5481,0
127,131,9033,10889,0
64,66,4603,5372,0
52,56,3698,4659,0
61,62,4268,5391,0
65,65,4620,5490,0
56,59,4031,4609,0
104,108,7383,9011,0
58,61,4053,5301,0
58,59,4144,4822,0
63,68,4520,5459,0
42,44,2956,3632,0
75,79,5323,6505,0
112,116,7955,9539,0
53,58,3772,4639,0
41,41,2926,3386,0
61,65,4248,5613,0
53,57,3808,4605,0
57,60,4050,4944,0
-12929,-13863,-917910,-1137423,0
0,2,0,170,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
17,25,1106,1933,0
201,283,13832,22196,0
244,320,17628,25059,0
157,178,11295,14258,0
182,188,12778,15787,0
161,172,11509,13931,0
260,274,18543,23258,0
142,147,10111,12105,0
186,191,13086,15825,0
167,182,11926,14463,0
176,193,12440,16416,0
170,176,12239,14395,0
243,252,17183,21366,0
153,159,10996,13233,0
168,174,11953,14943,0
164,165,11715,13789,0
165,172,11719,14299,0
