openflow:2:1	10813	13045	747592	986168	
openflow:2:1	11415	14072	784911	1047641	
openflow:2:1	12064	15135	825957	1111586	
openflow:2:1	12700	16198	865576	1176872	
openflow:2:1	13330	17238	905408	1238723	
openflow:2:1	13804	17949	936006	1285185	
openflow:2:1	14308	18499	971745	1329235	
openflow:2:1	14511	18721	986076	1347439	
openflow:2:1	14759	18979	1003718	1368230	
openflow:2:1	14982	19218	1019496	1388140	
openflow:2:1	15203	19450	1035273	1406791	
openflow:2:1	15441	19703	1052094	1428140	
openflow:2:1	15644	19915	1066620	1445164	
openflow:2:1	15895	20182	1084395	1467525	
openflow:2:1	16084	20379	1097813	1483791	
openflow:2:1	16342	20654	1116193	1506040	
openflow:2:1	16559	20893	1131505	1525649	
openflow:2:1	16813	21161	1149591	1547009	
openflow:2:1	17067	21443	1167440	1570016	
openflow:2:1	17318	21723	1185352	1591760	
openflow:2:1	17816	22261	1220534	1635298	
openflow:2:1	18061	22517	1237903	1656322	
openflow:2:1	18259	22721	1251924	1673685	
openflow:2:1	18489	22960	1268353	1692971	
openflow:2:1	18722	23216	1284864	1714182	
openflow:2:1	18953	23463	1301220	1734223	
openflow:2:1	19184	23703	1317638	1754335	
openflow:2:1	19394	23924	1332557	1772420	
openflow:2:1	19643	24190	1350315	1793872	
openflow:2:1	19870	24436	1366332	1814111	
openflow:2:1	20114	24695	1383684	1834968	
openflow:2:1	20339	24940	1399563	1854738	
openflow:2:1	20591	25214	1417411	1876601	
openflow:2:1	20849	25497	1435700	1899535	
openflow:2:1	21313	25992	1468602	1939475	
openflow:2:1	21528	26220	1483809	1958427	
openflow:2:1	21776	26484	1501452	1979990	
openflow:2:1	22337	27407	1536655	2036380	
openflow:2:1	23059	28628	1581618	2109209	
openflow:2:1	23744	29789	1624280	2178670	
openflow:2:1	24443	30973	1667813	2249206	
openflow:2:1	25178	32203	1713728	2323357	
openflow:2:1	25919	33469	1759780	2398505	
openflow:2:1	26343	34126	1787109	2439950	
openflow:2:1	26603	34407	1805454	2462619	
openflow:2:1	27086	34930	1839635	2504788	
openflow:2:1	27315	35180	1855940	2524776	
openflow:2:1	27543	35416	1872133	2544187	
openflow:2:1	27755	35640	1887093	2562918	
openflow:2:1	28002	35900	1904709	2584222	
openflow:2:1	28203	36111	1918938	2602039	
openflow:2:1	28418	36335	1934300	2620175	
openflow:2:1	28664	36601	1951637	2642294	
openflow:2:1	28890	36843	1967792	2661493	
openflow:2:1	29141	37115	1985519	2683885	
openflow:2:1	29366	37358	2001514	2703486	
openflow:2:1	29618	37624	2019402	2725074	
openflow:2:1	29827	37852	2034179	2743677	
